fund,vintage_year,capital_committed,cash_in,cash_out,cash_out_&_remaining_value,net_irr,investment_multiple,source,scraped_date
Pophouse Fund (No. 1) SCS,2024,"$113,118,526","$31,084,426","$593,474","$31,650,427",N/M  1,1,CalPERS,2026-02-18
"Prysm Capital Fund II-C, L.P.",2024,"$200,000,000","$133,042,956",$0,"$237,411,471",N/M  1,1,CalPERS,2026-02-18
RC CC Fund LP,2024,"$750,000,000","$541,639,800",$0,"$722,263,218",N/M  1,1,CalPERS,2026-02-18
River City Investments PCC,2024,"$150,000,000","$25,800,000",$0,"$27,640,594",N/M  1,1,CalPERS,2026-02-18
"Set Builders II, LP",2024,"$70,000,000","$44,522,322",$0,"$55,579,963",N/M  1,1,CalPERS,2026-02-18
"Shoreline, L.P.",2024,"$200,000,000","$77,944,757",$0,"$79,058,295",N/M  1,1,CalPERS,2026-02-18
"SignalFire Seed Fund V, L.P.",2024,"$94,044,821","$9,874,706",$0,"$9,847,992",N/M  1,1,CalPERS,2026-02-18
"SignalFire XIR Venture Fund II, L.P.",2024,"$51,818,128","$17,099,982",$0,"$15,634,730",N/M  1,1,CalPERS,2026-02-18
"Silver Lake Partners VII, L.P.",2024,"$370,000,000","$118,480,583","$163,572","$147,768,822",N/M  1,1,CalPERS,2026-02-18
"Springblue A-V, L.P.",2024,"$60,000,000","$17,100,000",$0,"$18,184,905",N/M  1,1,CalPERS,2026-02-18
"The Veritas Capital Fund IX, L.P.",2024,"$400,000,000","$5,027,427","$4,149","$4,149",N/M  1,1,CalPERS,2026-02-18
"Three Pillars Secondaries Fund, LP",2024,"$1,500,000,000","$226,875,000","$31,875,000","$427,968,916",N/M  1,1,CalPERS,2026-02-18
"Thrive Capital Partners IX Growth, L.P.",2024,"$365,742,209","$153,443,494",$0,"$185,123,129",N/M  1,1,CalPERS,2026-02-18
"Thrive Capital Partners Opportunity Fund, L.P.",2024,"$179,000,000","$114,974,381",$0,"$138,239,265",N/M  1,1,CalPERS,2026-02-18
"Towerbrook Investors VI (Onshore), L.P.",2024,"$100,000,000","$52,648,252","$90,072","$58,569,729",N/M  1,1,CalPERS,2026-02-18
"TPG Asia VIII (A), L.P.",2024,"$250,000,000","$105,999,569",$0,"$124,238,414",N/M  1,1,CalPERS,2026-02-18
"TPG GP Solutions (A), L.P.",2024,"$100,000,000","$32,679,829",$0,"$36,483,741",N/M  1,1,CalPERS,2026-02-18
"TPG Growth VI, L.P.",2024,"$200,000,000","$74,267,435","$157,853","$80,143,530",N/M  1,1,CalPERS,2026-02-18
"TPG Life Sciences Innovations, L.P.",2024,"$75,000,000","$26,320,566",$0,"$18,235,648",N/M  1,1,CalPERS,2026-02-18
"Triangle Investment Opportunities II, L.P.",2024,"$1,000,000,000","$110,990,194",$0,"$366,344,224",N/M  1,1,CalPERS,2026-02-18
Verdane Edda III (D1) AB,2024,"$114,475,623","$33,329,164",$0,"$44,780,078",N/M  1,1,CalPERS,2026-02-18
Whitney Global Partners II L.P.,2024,"$281,660,033","$142,216,222",$0,"$168,029,776",N/M  1,1,CalPERS,2026-02-18
Wigeavenmore Co-Investment LP,2024,"$296,173,176","$179,429,651",$0,"$249,904,975",N/M  1,1,CalPERS,2026-02-18
"2024 Golden Bay, L.P.",2025,"$100,000,000","$24,096,354",$0,"$25,902,684",N/M  1,1,CalPERS,2026-02-18
"Accel-KKR Capital Partners VII, LP",2025,"$180,000,000","$2,515,603",$0,$0,N/M  1,1,CalPERS,2026-02-18
"Apollo S3 Equity & Hybrid Solutions Fund, L.P.",2025,"$175,000,000","$42,194,086",$0,"$50,714,995",N/M  1,1,CalPERS,2026-02-18
"Bear Coast Partnerships, L.P.",2025,"$150,000,000","$6,139,595",$0,"$5,116,908",N/M  1,1,CalPERS,2026-02-18
"Berkshire Fund XI, L.P.",2025,"$300,000,000","$5,229,134",$0,"$3,461,594",N/M  1,1,CalPERS,2026-02-18
Blackstone Capital Partners IX L.P.,2025,"$200,000,000","$11,975,471",$0,"$10,359,141",N/M  1,1,CalPERS,2026-02-18
Cap Co-Invest LP,2025,"$100,000,000","$12,970,000",$0,"$14,011,925",N/M  1,1,CalPERS,2026-02-18
CF24XB SCSp,2025,"$30,906,908","$24,725,526",$0,"$30,455,659",N/M  1,1,CalPERS,2026-02-18
EQT Healthcare Growth (No.2) SCSp,2025,"$117,024,198","$34,073,192",$0,"$31,902,859",N/M  1,1,CalPERS,2026-02-18
"Francisco Partners Agility III, L.P.",2025,"$100,000,000","$2,100,000",$0,"$2,787,055",N/M  1,1,CalPERS,2026-02-18
"GA Continuity II (GT) Fund, L.P.",2025,"$31,619,538","$28,122,024",$0,"$35,080,612",N/M  1,1,CalPERS,2026-02-18
"GB Palisade Partners, L.P.",2025,"$70,000,000","$55,421,986",$0,"$55,145,612",N/M  1,1,CalPERS,2026-02-18
"Generation IM Sustainable Private Equity Fund II (A), ILP",2025,"$100,000,000","$9,846,194",$0,"$9,273,230",N/M  1,1,CalPERS,2026-02-18
"Griffin Gaming Partners III, L.P.",2025,"$50,000,000","$10,000,000",$0,"$8,030,780",N/M  1,1,CalPERS,2026-02-18
"Highland Citrus Holdings, L.P.",2025,"$100,000,000","$5,049,000",$0,"$4,965,719",N/M  1,1,CalPERS,2026-02-18
"Jomo Growth Opportunities Fund, L.P.",2025,"$100,000,000","$7,004,333",$0,"$6,742,107",N/M  1,1,CalPERS,2026-02-18
"Lightspeed Opportunity Fund III, L.P.",2025,"$200,000,000","$50,000,000",$0,"$48,449,498",N/M  1,1,CalPERS,2026-02-18
"Lightspeed Venture Partners Select VI, L.P.",2025,"$100,000,000","$20,000,000",$0,"$18,744,907",N/M  1,1,CalPERS,2026-02-18
"Lightspeed Venture Partners XV-A (Inception), L.P.",2025,"$45,000,000","$3,150,000",$0,"$2,807,208",N/M  1,1,CalPERS,2026-02-18
"Lightspeed Venture Partners XV-B (Ignite), L.P.",2025,"$55,000,000","$7,150,000",$0,"$6,900,689",N/M  1,1,CalPERS,2026-02-18
"Mayfield Select III, a Delaware Limited Partnership",2025,"$24,000,000","$4,800,000",$0,"$4,716,999",N/M  1,1,CalPERS,2026-02-18
"Noosa SPV, LP",2025,"$50,000,000","$9,000,360",$0,"$8,586,468",N/M  1,1,CalPERS,2026-02-18
"Otro Capital Fund I-A, LP",2025,"$50,000,000","$17,225,760","$109,436","$18,845,149",N/M  1,1,CalPERS,2026-02-18
"Parker Capital Partners, L.P.",2025,"$300,000,000","$100,431,304",$0,"$100,015,735",N/M  1,1,CalPERS,2026-02-18
Pophouse Investment Platform SCA SICAV-RAIF ? Pophouse Co-Investment Fund II,2025,"$38,381,453","$21,354,817",$0,"$23,648,102",N/M  1,1,CalPERS,2026-02-18
PSG VI L.P.,2025,"$250,000,000","$25,672,570","$621,981","$18,369,456",N/M  1,1,CalPERS,2026-02-18
"SignalFire Early Fund IV, L.P.",2025,"$94,044,821","$18,338,740",$0,"$17,639,838",N/M  1,1,CalPERS,2026-02-18
"SignalFire Eureka Fund, L.P.",2025,"$150,000,000","$28,228,870",$0,"$28,221,897",N/M  1,1,CalPERS,2026-02-18
"Strategic Partners (A), L.P.",2025,"$300,000,000","$26,017,048",$0,"$27,178,649",N/M  1,1,CalPERS,2026-02-18
"TA XV-A, L.P.",2025,"$300,000,000","$36,000,000",$0,"$31,281,272",N/M  1,1,CalPERS,2026-02-18
"Thoma Bravo Europe Fund, L.P.",2025,"$114,289,385","$36,774,777",$0,"$46,233,415",N/M  1,1,CalPERS,2026-02-18
"Thrive Capital Partners IX, L.P.",2025,"$104,497,791","$13,284,543",$0,"$12,346,590",N/M  1,1,CalPERS,2026-02-18
"TPG NEXT (A), L.P.",2025,"$500,000,000","$13,950,655","$2,255,097","$2,255,097",N/M  1,1,CalPERS,2026-02-18
Fund,Vintage Year,Capital Committed,Cash In,Cash Out,Cash Out & Remaining Value,Net IRR,Investment Multiple,CalPERS,2026-02-18
