fund,vintage_year,capital_committed,cash_in,cash_out,cash_out_&_remaining_value,net_irr,investment_multiple,source,scraped_date
"Carlyle Asia Partners III, L.P.",2008,"$150,000,000","$371,700,862","$584,513,151","$584,513,151",12.0%,,CalPERS,2026-02-18
CVC European Equity Partners V (B) L.P.,2008,"$561,987,531","$710,667,384","$1,290,077,106","$1,303,813,453",16.4%,,CalPERS,2026-02-18
"KKR European Fund III, L.P.",2008,"$311,051,148","$420,900,950","$593,968,810","$593,968,810",9.5%,,CalPERS,2026-02-18
"TPG Biotechnology Partners III, L.P.",2008,"$100,000,000","$100,076,482","$212,285,844","$217,320,718",11.0%,,CalPERS,2026-02-18
"Yucaipa American Alliance Fund II, L.P.",2008,"$400,000,000","$560,638,831","$612,947,113","$953,731,493",7.6%,,CalPERS,2026-02-18
"Yucaipa Corporate Initiatives Fund II, L.P.",2008,"$93,539,524","$91,400,621","$81,687,571","$82,782,479",-1.3%,,CalPERS,2026-02-18
"57 Stars Global Opportunities Fund 2 (CalPERS), LLC",2009,"$500,000,000","$529,974,862","$530,918,754","$760,121,798",5.8%,,CalPERS,2026-02-18
AACP India Investors C,2009,"$5,000,000","$5,320,648","$4,658,216","$4,737,062",-1.5%,,CalPERS,2026-02-18
"Khosla Ventures III, L.P.",2009,"$200,000,000","$200,000,000","$362,846,119","$369,901,401",9.7%,,CalPERS,2026-02-18
"Khosla Ventures Seed, L.P.",2009,"$60,000,000","$60,000,000","$12,484,329","$70,662,998",1.4%,,CalPERS,2026-02-18
"Welsh, Carson, Anderson & Stowe XI, L.P.",2009,"$125,000,000","$125,000,000","$207,650,933","$207,889,459",11.5%,,CalPERS,2026-02-18
SAIF Partners IV L.P.,2010,"$120,000,000","$153,008,026","$127,464,833","$234,290,029",5.1%,,CalPERS,2026-02-18
"Birch Hill Equity Partners (US) IV, LP",2011,"$136,760,139","$132,114,065","$346,591,563","$356,786,131",15.7%,,CalPERS,2026-02-18
Blackstone Capital Partners VI L.P.,2011,"$375,000,000","$544,087,614","$893,414,460","$979,655,719",12.4%,,CalPERS,2026-02-18
"CalPERS Wellspring V, L.P.",2011,"$24,975,000","$27,004,887","$47,927,588","$53,545,430",21.4%,,CalPERS,2026-02-18
"Francisco Partners III, L.P.",2011,"$100,000,000","$95,284,663","$294,444,853","$327,355,027",23.0%,,CalPERS,2026-02-18
Hellman & Friedman Capital Partners VII,2011,"$300,000,000","$286,896,670","$945,792,700","$970,057,559",24.6%,,CalPERS,2026-02-18
"Oaktree Opportunities Fund VIIIb, L.P.",2011,"$200,000,000","$200,000,000","$328,021,456","$335,548,327",8.1%,,CalPERS,2026-02-18
"Advent International GPE VII-C, L.P.",2012,"$450,000,000","$432,732,784","$747,260,966","$783,373,485",13.2%,,CalPERS,2026-02-18
Blackstone Tactical Opportunities Fund - C L.P.,2012,"$800,000,000","$993,870,181","$1,329,098,145","$1,352,041,026",9.4%,,CalPERS,2026-02-18
"Cerberus Institutional Partners V, L.P.",2012,"$400,000,000","$479,288,769","$767,521,291","$935,440,402",13.8%,,CalPERS,2026-02-18
"Clearlake Capital Partners III, LP",2012,"$50,000,000","$70,740,191","$202,436,054","$203,888,079",40.7%,,CalPERS,2026-02-18
"GCM Grosvenor DEM, L.P.",2012,"$100,000,000","$116,372,431","$131,598,823","$159,651,139",8.5%,,CalPERS,2026-02-18
PAG Asia I LP,2012,"$100,000,000","$122,564,884","$214,124,518","$222,188,281",17.3%,,CalPERS,2026-02-18
"Riverstone Global Energy and Power Fund V, L.P.",2012,"$400,000,000","$530,971,147","$427,512,115","$437,189,218",-4.3%,,CalPERS,2026-02-18
"Apollo Investment Fund VIII, L.P.",2013,"$350,000,000","$497,808,561","$621,414,810","$711,825,248",8.8%,,CalPERS,2026-02-18
"Carlyle Partners VI, L.P.",2013,"$300,850,000","$597,079,518","$1,121,909,168","$1,185,287,456",15.9%,,CalPERS,2026-02-18
Cerberus CP Partners LP,2013,"$570,297,030","$674,624,184","$1,123,171,151","$1,551,399,382",16.8%,,CalPERS,2026-02-18
GSO Energy Partners-C LP,2013,"$400,000,000","$477,265,166","$405,279,061","$419,262,693",-3.1%,,CalPERS,2026-02-18
KKR Asian Fund II L.P.,2013,"$350,000,000","$651,962,786","$608,503,658","$679,230,633",1.2%,,CalPERS,2026-02-18
"Silver Lake Partners IV, L.P.",2013,"$320,000,000","$379,466,855","$681,383,782","$1,034,611,596",20.9%,,CalPERS,2026-02-18
"Silver Lake Technology Investors IV, LP",2013,"$80,000,000","$86,918,274","$196,177,186","$299,725,729",27.3%,,CalPERS,2026-02-18
"TowerBrook Investors IV (Onshore), L.P.",2013,"$380,000,000","$318,788,261","$452,175,760","$649,602,587",17.0%,,CalPERS,2026-02-18
Triton Fund IV L.P.,2013,"$90,811,931","$108,403,645","$114,207,283","$188,468,166",12.2%,,CalPERS,2026-02-18
