fund_name,gp_name,vintage_year,committed,cash_in,cash_out,remaining_value,total_value,tvpi,dpi,rvpi,net_irr,source,as_of_date
"Bridgepoint Development Capital IV, L.P.",Bridgepoint Development,2020,154.7,97.9,,101.6,,1.04,,1.0377936670071501,0.038,PSERS,March 2024
"Bridgepoint Europe III A, L.P.",Bridgepoint Europe,2005,233.8,249.2,298.1,7.51,305.61,1.23,1.196227929373997,0.030136436597110756,0.024,PSERS,March 2024
"Bridgepoint Europe IV, L.P.",Bridgepoint Europe,2008,458.8,374.7,526.2,63.7,589.9000000000001,1.57,1.4043234587670137,0.17000266880170806,0.09300000000000001,PSERS,March 2024
"Bridgepoint Europe V, L.P.",Bridgepoint Europe,2014,194.4,158.2,226.6,79.0,305.6,1.93,1.4323640960809103,0.49936788874841975,0.17,PSERS,March 2024
"Bridgepoint Europe VI, L.P.",Bridgepoint Europe,2018,123.8,107.8,11.8,147.0,158.8,1.47,0.10946196660482375,1.3636363636363638,0.152,PSERS,March 2024
Capital International Private Equity Fund V L.P.,Capital International,2007,200.0,211.3,191.3,0.6,191.9,0.91,0.9053478466635116,0.002839564600094652,-0.027999999999999997,PSERS,March 2024
"Capital International Private Equity Fund VI, L.P.",Capital International,2011,100.0,110.3,96.1,8.3,104.39999999999999,0.95,0.871260199456029,0.07524932003626474,-0.009000000000000001,PSERS,March 2024
"Catterton Growth Partners II, L.P.",Catterton Growth,2013,75.0,90.3,37.7,47.7,85.4,0.95,0.4174972314507199,0.5282392026578073,-0.008,PSERS,March 2024
"Catterton Partners VII, L.P.",Catterton Partners,2012,100.0,126.3,161.2,45.2,206.39999999999998,1.63,1.276326207442597,0.35787806809184486,0.11699999999999999,PSERS,March 2024
"Cerberus Institutional Partners V, L.P.",Cerberus Institutional,2012,200.0,208.0,336.9,76.2,413.09999999999997,1.99,1.6197115384615384,0.3663461538461539,0.131,PSERS,March 2024
"Cerberus Institutional Partners VI, L.P.",Cerberus Institutional,2015,200.0,206.2,164.3,203.4,367.70000000000005,1.78,0.7967992240543162,0.9864209505334628,0.12300000000000001,PSERS,March 2024
"Cerberus Institutional Partners, L.P.(Series Four)",Cerberus Institutional,2006,400.0,369.7,681.7,2.4,684.1,1.85,1.8439275087909117,0.0064917500676223965,0.092,PSERS,March 2024
Clayton Dubilier & Rice Fund XII LP,Clayton Dubilier,2023,100.0,9.5,,8.9,,0.93,,0.9368421052631579,,PSERS,March 2024
"Clearlake Capital Partners IV, L.P.",Clearlake Capital,2015,57.5,90.1,147.0,38.8,185.8,2.06,1.6315205327413986,0.4306326304106548,0.28800000000000003,PSERS,March 2024
"Clearlake Capital Partners V, L.P.",Clearlake Capital,2017,100.0,144.6,193.1,120.8,313.9,2.17,1.3354080221300137,0.8354080221300139,0.386,PSERS,March 2024
"Clearlake Capital Partners VI, L.P.",Clearlake Capital,2020,150.0,156.6,23.9,238.7,262.59999999999997,1.68,0.15261813537675606,1.5242656449553,0.217,PSERS,March 2024
"Clearlake Capital Partners VII, L.P.",Clearlake Capital,2021,85.0,49.2,0.2,54.2,54.400000000000006,1.11,0.004065040650406504,1.1016260162601625,0.069,PSERS,March 2024
"Clearlake Capital Partners VIII, L.P.",Clearlake Capital,2023,100.0,,,,,,,,,PSERS,March 2024
"Clearlake Flagship Plus Partners, L.P.",Clearlake Flagship,2020,75.0,73.4,19.4,66.1,85.5,1.17,0.2643051771117166,0.9005449591280652,0.092,PSERS,March 2024
"Co-Investment 2000 Fund, L.P.",Co-Investment 2000,2000,135.0,135.3,213.0,0.3,213.3,1.58,1.5742793791574279,0.002217294900221729,0.076,PSERS,March 2024
"Co-Investment Fund II, L.P.",Co-Investment Fund,2005,135.0,134.3,143.4,4.1,147.5,1.1,1.067758749069248,0.030528667163067753,0.01,PSERS,March 2024
"Coller International Partners VI, L.P.",Coller International,2010,75.3,82.9,128.6,10.0,138.6,1.67,1.551266586248492,0.12062726176115801,0.146,PSERS,March 2024
"Coller International Partners VII, L.P. -Series A",Coller International,2014,100.0,82.0,88.9,46.5,135.4,1.65,1.0841463414634147,0.5670731707317073,0.135,PSERS,March 2024
