fund_name,vintage_year,capital_committed,capital_contributed,capital_distributed,nav,tvpi,net_irr,source,reporting_period,scraped_date
"EnerVest Energy Institutional Fund XII, Ltd",2009,60000000.0,60004730.0,38071041.0,272225.0,0.64,-0.193,Florida SBA,2020-Q2,2025-02-19
"EnerVest Energy Institutional Fund XIII, Ltd.",2012,100000000.0,105981851.0,9552979.0,1.0,0.09,-0.959,Florida SBA,2020-Q2,2025-02-19
EnerVest Energy Institutional Fund XIV,2015,100000000.0,104238328.0,50546505.0,37962507.0,0.85,-0.06,Florida SBA,2020-Q2,2025-02-19
Equistone European Fund V,2015,74366455.0,70701017.0,8829329.0,69533330.0,1.11,0.031,Florida SBA,2020-Q2,2025-02-19
Equistone Partners Europe Fund VI,2017,88195865.0,33075319.0,0.0,31049587.0,0.94,-0.075,Florida SBA,2020-Q2,2025-02-19
"European Private Equity Opportunities I, L.P.",2016,49181385.0,30630329.0,3386454.0,18207605.0,0.7,-0.247,Florida SBA,2020-Q2,2025-02-19
European Private Equity Opportunities II LP,2019,77094209.0,0.0,0.0,,,,Florida SBA,2020-Q2,2025-02-19
"Falfurrias Capital Partners IV, LP",2019,60000000.0,10800000.0,0.0,21158725.0,1.96,,Florida SBA,2020-Q2,2025-02-19
"Fairview Special Opportunities Fund, L.P.",2011,220000000.0,210143576.0,163006929.0,366692201.0,2.52,0.206,Florida SBA,2020-Q2,2025-02-19
Fairview Special Opportunities Fund II,2015,87000000.0,79870629.0,4966398.0,124264189.0,1.62,0.174,Florida SBA,2020-Q2,2025-02-19
"Fairview Ventures Fund II, L.P.",2002,50000000.0,50000000.0,67065957.0,,1.34,0.039,Florida SBA,2020-Q2,2025-02-19
"Fairview Ventures III, L.P.",2006,75000000.0,73800000.0,134937967.0,,1.83,0.118,Florida SBA,2020-Q2,2025-02-19
"First Reserve Fund XI, L.P.",2006,100000000.0,100000000.0,63007054.0,105242.0,0.63,-0.102,Florida SBA,2020-Q2,2025-02-19
"First Reserve Fund XII, L.P.",2008,200000000.0,210333084.0,99549567.0,18248871.0,0.56,-0.128,Florida SBA,2020-Q2,2025-02-19
"Francisco Partners IV, LP",2014,75000000.0,73087500.0,63270014.0,105663135.0,2.31,0.293,Florida SBA,2020-Q2,2025-02-19
"Francisco Partners V, L.P.",2017,75000000.0,39000000.0,0.0,44115578.0,1.13,0.081,Florida SBA,2020-Q2,2025-02-19
"Francisco Partners VI, L.P.",2019,100000000.0,0.0,0.0,,,,Florida SBA,2020-Q2,2025-02-19
"FS Equity Partners V, L.P.",2002,50000000.0,40136967.0,84176286.0,,2.1,0.161,Florida SBA,2020-Q2,2025-02-19
"FS Equity Partners VI, L.P.",2009,75000000.0,76714592.0,188494811.0,37337085.0,2.94,0.2289999999999999,Florida SBA,2020-Q2,2025-02-19
"FS Equity Partners VII, L.P.",2014,100000000.0,107450773.0,24398494.0,103156820.0,1.19,0.061,Florida SBA,2020-Q2,2025-02-19
