fund_name,vintage_year,capital_committed,capital_contributed,capital_distributed,nav,net_irr,source,scraped_date,reporting_period
"Quadrangle Capital Partners II, L.P.",2005,100000000,86077968,129556581,484710,6.85,CalSTRS,2026-02-18,"FYE June 30, 2025"
Reverence Cap PTR Op Fd V (PE Fd III),2023,50000000,35867977,1226876,48009465,29.18,CalSTRS,2026-02-18,"FYE June 30, 2025"
"Riverstone/Carlyle Renewable and Alternative Energy Fund II, L.P.",2008,300000000,226912175,255084806,2309870,1.97,CalSTRS,2026-02-18,"FYE June 30, 2025"
Riverwood Capital Partners III,2020,100000000,106454611,30477212,137516899,15.82,CalSTRS,2026-02-18,"FYE June 30, 2025"
"RRJ Capital Master Fund III, L.P.",2015,200000000,204820616,187274385,59532856,7.35,CalSTRS,2026-02-18,"FYE June 30, 2025"
"RRJ Capital Master Fund IV, L.P.",2021,150000000,115258771,54983429,82131043,16.07,CalSTRS,2026-02-18,"FYE June 30, 2025"
Rubicon Technology Partners III L.P.,2020,100000000,98956030,27670517,92821602,5.64,CalSTRS,2026-02-18,"FYE June 30, 2025"
Rubicon Technology Partners IV,2022,100000000,48592922,321807,53378376,7.07,CalSTRS,2026-02-18,"FYE June 30, 2025"
"Sankaty Credit Opportunities II, L.P.",2005,75000000,75000000,96574168,18882,3.94,CalSTRS,2026-02-18,"FYE June 30, 2025"
"Sankaty Credit Opportunities III, LP",2007,300000000,300000000,353933866,156335,2.42,CalSTRS,2026-02-18,"FYE June 30, 2025"
"Sankaty Credit Opportunities IV, L.P.",2008,250000000,237500000,351655607,1654262,11.58,CalSTRS,2026-02-18,"FYE June 30, 2025"
Searchlight Capital III LP,2020,150000000,152303436,69702642,197004768,22.90,CalSTRS,2026-02-18,"FYE June 30, 2025"
Searchlight Capital IV LP,2024,150000000,45108698,163002,54160799,34.21,CalSTRS,2026-02-18,"FYE June 30, 2025"
"Shasta Ventures II, L.P.",2008,22500000,21600000,89608608,1621448,20.00,CalSTRS,2026-02-18,"FYE June 30, 2025"
