fund_name,vintage_year,capital_committed,capital_contributed,capital_distributed,nav,tvpi,net_irr,source,reporting_period,scraped_date
Platinum Equity Capital Partners IV LP,2016,100000000.0,83560651.0,22192901.0,,1.33,0.2261,Louisiana Teachers,2019-Q4,2025-02-19
Trident VII LP,2016,75000000.0,60097645.0,7977415.0,,1.24,0.19269999999999998,Louisiana Teachers,2019-Q4,2025-02-19
Apollo Investment Fund IX LP,2017,125000000.0,20260935.0,233108.0,,0.89,-0.25079999999999997,Louisiana Teachers,2019-Q4,2025-02-19
CVC Capital Partners VII (A) LP,2017,112250000.0,49119532.0,446732.0,,1.09,0.20920000000000002,Louisiana Teachers,2019-Q4,2025-02-19
Roark Capital Partners II Sidecar LP,2017,12500000.0,7476738.0,25531.0,,1.4,0.2526,Louisiana Teachers,2019-Q4,2025-02-19
Roark Capital Silver Lake Partners V LP,2017,67000000.0,36852387.0,7570164.0,,1.14,0.1535,Louisiana Teachers,2019-Q4,2025-02-19
TPG Growth IV LP,2017,75000000.0,36820117.0,0.0,,0.99,-0.0059,Louisiana Teachers,2019-Q4,2025-02-19
Bridgepoint Europe VI LP,2018,84187500.0,10634690.0,335177.0,,1.09,0.2325,Louisiana Teachers,2019-Q4,2025-02-19
Kelso Investment Associates X LP,2018,100000000.0,17928322.0,1336644.0,,1.04,0.0836,Louisiana Teachers,2019-Q4,2025-02-19
Platinum Equity Capital Partners V LP,2018,100000000.0,0.0,0.0,,0.76,-0.2429,Louisiana Teachers,2019-Q4,2025-02-19
Thoma Bravo Fund XIII LP,2018,50000000.0,18068554.0,16918.0,,1.08,0.1076,Louisiana Teachers,2019-Q4,2025-02-19
Thomas H. Lee Equity Fund VIII LP,2018,100000000.0,21014133.0,1942026.0,,1.26,1.1737,Louisiana Teachers,2019-Q4,2025-02-19
Apollo Natural Resources Partners,2011,75000000.0,67670876.0,51581986.0,,1.0,-0.0004,Louisiana Teachers,2019-Q4,2025-02-19
Encap Energy Capital Fund VIII Co- Inv,2011,12500000.0,12493900.0,3763032.0,,0.61,-0.1038,Louisiana Teachers,2019-Q4,2025-02-19
Encap Energy Capital Fund VIII L.P.,2011,37500000.0,33425620.0,19107104.0,,0.75,-0.0814,Louisiana Teachers,2019-Q4,2025-02-19
"EIG Energy Fund XVI, LP",2013,75000000.0,64056877.0,29672288.0,,1.2,0.0677,Louisiana Teachers,2019-Q4,2025-02-19
