fund_name,vintage_year,capital_committed,capital_contributed,capital_distributed,nav,net_irr,tvpi,source,reporting_period,scraped_date
"Insight Venture Partners VII, L.P.",2011,50000000.0,53300378.89,107974045.28999999,34104574.26,0.2084943838045874,2.6656211927352023,Massachusetts PRIM,2020-Q1,2025-02-19
"Insight Venture Partners VIII, L.P.",2013,94000000.0,98230433.99999999,128647293.99,97301628.38,0.18694418119967773,2.3001926507827504,Massachusetts PRIM,2020-Q1,2025-02-19
"Insight Venture Partners X, L.P.",2018,80000000.0,71840000.0,27396.03,83967564.98,0.14793126439388807,1.1691948915645882,Massachusetts PRIM,2020-Q1,2025-02-19
"Institutional Venture Partners XIII, L.P.",2010,25000000.0,25000000.0,31166046.999925997,11698266.0,0.11177531316531161,1.71457251999704,Massachusetts PRIM,2020-Q1,2025-02-19
"Institutional Venture Partners XIV, L.P.",2013,40000000.0,40036078.0,23847294.0,35201524.0,0.09703606198184121,1.4748901728086354,Massachusetts PRIM,2020-Q1,2025-02-19
"InterWest Partners VIII, L.P.",2000,20000000.0,20000000.0,10363013.149996998,2603243.58,-0.05044540762959346,0.64831283649985,Massachusetts PRIM,2020-Q1,2025-02-19
"JMI Equity Fund IX, L.P.",2018,70000000.0,21209999.0,,21367056.0,0.01383126083667123,1.0074048565490268,Massachusetts PRIM,2020-Q1,2025-02-19
"Kelso Investment Associates VII, L.P.",2004,75000000.0,80515307.87,126511700.87,120994.0,0.11275094964779056,1.5727778756613726,Massachusetts PRIM,2020-Q1,2025-02-19
"Kelso Investment Associates VIII, L.P.",2007,125000000.0,120918636.0,140199371.0,18900001.0,0.058451011328416166,1.3157555961845286,Massachusetts PRIM,2020-Q1,2025-02-19
"Kepha Partners II, L.P.",2012,15000000.0,11250000.0,838102.99,7225959.0,-0.08577989996708943,0.7168055102222223,Massachusetts PRIM,2020-Q1,2025-02-19
"Keytone Ventures II, L.P.",2011,20000000.0,19600000.0,4119039.27,27642491.0,0.07834099620137153,1.6204862382653062,Massachusetts PRIM,2020-Q1,2025-02-19
"KKR 2006 Fund, L.P.",2006,75000000.0,81457591.0,121730780.0,19481273.0,0.08923362945176046,1.733565297800177,Massachusetts PRIM,2020-Q1,2025-02-19
"KKR North America Fund XI, L.P.",2012,100000000.0,115258235.0,118900319.0,79164569.99999999,0.1698288685790662,1.718444577951415,Massachusetts PRIM,2020-Q1,2025-02-19
"Lovell Minnick Equity Partners IV, L.P.",2015,100000000.0,109655574.00000001,81761473.99999999,71540895.0,0.18456698268856195,1.398035352037827,Massachusetts PRIM,2020-Q1,2025-02-19
"Lovell Minnick Equity Partners V, L.P.",2019,175000000.0,35625270.0,52480.0,30782440.0,-0.20277765467532638,0.8655350541904665,Massachusetts PRIM,2020-Q1,2025-02-19
"M/C Venture Partners V, L.P.",2000,15000000.0,14920577.0,24109224.0,50348.0,0.08337616505144459,1.6192116430886019,Massachusetts PRIM,2020-Q1,2025-02-19
"M/C Venture Partners VI, L.P.",2006,40000000.0,39592896.0,83848452.0,148163.0,0.1335113851743751,2.121507226953037,Massachusetts PRIM,2020-Q1,2025-02-19
"Madison Dearborn Capital Partners IV, L.P.",2000,75000000.0,75432571.5,140968150.588,1688636.0,0.14085962292857757,1.8911828637314851,Massachusetts PRIM,2020-Q1,2025-02-19
"Madison Dearborn Capital Partners V, L.P.",2006,125000000.0,119455711.91,189582665.6,1720267.0,0.07108424003261837,1.6014548784752207,Massachusetts PRIM,2020-Q1,2025-02-19
"Menlo Ventures IX, L.P.",2001,42500000.0,42500000.0,43040662.222628,794819.0,0.005053986962284108,1.031423087591247,Massachusetts PRIM,2020-Q1,2025-02-19
"Menlo Ventures X, L.P.",2006,34000000.0,34000000.0,69498721.339977,1683558.0,0.10648666519044733,2.093596451175794,Massachusetts PRIM,2020-Q1,2025-02-19
"Montreux Equity Partners IV, L.P.",2007,20000000.0,19907465.6,10966852.584972002,15575155.0,0.04275660170846519,1.3332690417896291,Massachusetts PRIM,2020-Q1,2025-02-19
"Nash, Sells Limited Partnership II",1995,21102783.27979074,21100600.790000003,65351276.823419,88010.58073513501,0.1762861482272641,3.101299723900143,Massachusetts PRIM,2020-Q1,2025-02-19
