investment_name,"initial_investment
date","capital
committed","paid-in
capital
a",unfunded_commitment,"current
market_value
b","capital
distributed_1
c_","total_value
b+c","total_value
multiple
b+c_a","gain_since
inception
b+c-a","net
irr_2",strategy_type,source,scraped_date,reporting_period
"Cable & Howse Transition Fund, L.P.",6/28/1983,"5,000,000","5,000,000",-,-,"4,056,666","4,056,666",0.8x,"(943,334)",(3.52%),Venture Capital,WSIB,2026-02-18,ir093024
"Essex Woodlands Health Ventures Fund V, L.P.",8/8/2000,"25,000,000","25,500,000",-,"2,362,907","26,977,718","29,340,625",1.2x,"3,840,625",2.98%,Venture Capital,WSIB,2026-02-18,ir093024
"Essex Woodlands Health Ventures Fund VI, L.P.",2/23/2004,"25,000,000","24,343,750","656,250","7,370,221","26,746,020","34,116,241",1.4x,"9,772,491",3.49%,Venture Capital,WSIB,2026-02-18,ir093024
"Evergreen I, L.P.",12/18/1984,"25,000,000","25,000,000",-,-,"69,843,499","69,843,499",2.8x,"44,843,499",12.60%,Venture Capital,WSIB,2026-02-18,ir093024
"Evergreen II, L.P.",12/12/1984,"25,000,000","25,000,000",-,-,"27,682,785","27,682,785",1.1x,"2,682,785",1.69%,Venture Capital,WSIB,2026-02-18,ir093024
"Evergreen III, L.P.",4/6/1987,"25,000,000","25,000,000",-,-,"36,854,986","36,854,986",1.5x,"11,854,986",7.76%,Venture Capital,WSIB,2026-02-18,ir093024
"Evergreen IV, L.P.",11/15/1987,"25,000,000","25,000,000",-,-,"32,690,838","32,690,838",1.3x,"7,690,838",5.47%,Venture Capital,WSIB,2026-02-18,ir093024
"Frazier Healthcare II, L.P.",2/28/1996,"10,000,000","10,114,091",-,-,"14,786,378","14,786,378",1.5x,"4,672,288",6.85%,Venture Capital,WSIB,2026-02-18,ir093024
"Frazier Healthcare III, L.P.",10/27/1998,"40,000,000","42,643,494",-,-,"20,113,596","20,113,596",0.5x,"(22,529,898)",(11.14%),Venture Capital,WSIB,2026-02-18,ir093024
"Frazier Healthcare IV, L.P.",9/26/2001,"40,000,000","39,760,000",-,-,"41,379,754","41,379,754",1.0x,"1,619,754",0.65%,Venture Capital,WSIB,2026-02-18,ir093024
"General Catalyst Group XII, L.P.",3/18/2024,"200,000,000","38,554,554","161,445,446","41,688,808",-,"41,688,808",1.1x,"3,134,254",13.80%,Venture Capital,WSIB,2026-02-18,ir093024
"InterWest Partners VI, L.P.",1/13/1997,"10,000,000","10,000,000",-,-,"29,717,541","29,717,541",3.0x,"19,717,541",48.80%,Venture Capital,WSIB,2026-02-18,ir093024
Invesco Portfolio,10/9/1996,"324,955,000","325,876,104","200,000","574,541","457,400,534","457,975,075",1.4x,"132,098,971",7.25%,Venture Capital,WSIB,2026-02-18,ir093024
"Investech, L.P.",5/21/1982,"5,000,000","5,000,000",-,-,"6,121,369","6,121,369",1.2x,"1,121,369",2.25%,Venture Capital,WSIB,2026-02-18,ir093024
"John Hancock Venture Capital Fund, L.P.",2/3/1983,"10,000,000","10,000,000",-,-,"11,268,802","11,268,802",1.1x,"1,268,802",1.73%,Venture Capital,WSIB,2026-02-18,ir093024
"KBA Partners II, L.P.",6/30/1989,"42,600,000","42,600,000",-,-,"1,575,007","1,575,007",0.0x,"(41,024,993)",(42.07%),Venture Capital,WSIB,2026-02-18,ir093024
"KBA Partners, L.P.",3/10/1987,"33,000,000","33,000,000",-,-,"70,999,532","70,999,532",2.2x,"37,999,532",14.73%,Venture Capital,WSIB,2026-02-18,ir093024
"Materia Ventures, L.P.",5/6/1986,"15,000,000","15,000,000",-,-,"18,008,369","18,008,369",1.2x,"3,008,369",1.91%,Venture Capital,WSIB,2026-02-18,ir093024
"Menlo Evergreen V, L.P.",6/6/1988,"25,000,000","25,008,714",-,-,"90,391,102","90,391,102",3.6x,"65,382,388",32.14%,Venture Capital,WSIB,2026-02-18,ir093024
"Menlo Inflection I, L.P.",5/13/2016,"131,000,000","131,000,000",-,"349,308,563","23,240,324","372,548,887",2.8x,"241,548,887",17.25%,Venture Capital,WSIB,2026-02-18,ir093024
"Menlo Inflection II, L.P.",3/15/2019,"200,000,000","194,000,000","6,000,000","290,798,949","16,234,418","307,033,367",1.6x,"113,033,367",13.52%,Venture Capital,WSIB,2026-02-18,ir093024
"Menlo Olympic Fund I, L.P.",6/29/2023,"225,000,000","63,000,000","162,000,000","57,935,291",-,"57,935,291",0.9x,"(5,064,709)",(10.93%),Venture Capital,WSIB,2026-02-18,ir093024
"Menlo Inflection III, L.P.",3/15/2022,"250,000,000","102,500,001","147,499,999","98,469,956",-,"98,469,956",1.0x,"(4,030,045)",(2.80%),Venture Capital,WSIB,2026-02-18,ir093024
"Menlo Venture Partners, LP",11/30/1981,"3,000,000","3,000,000",-,-,"3,942,087","3,942,087",1.3x,"942,087",6.14%,Venture Capital,WSIB,2026-02-18,ir093024
"Menlo Ventures III, LP",7/28/1983,"20,000,000","20,000,000",-,-,"31,353,036","31,353,036",1.6x,"11,353,036",7.17%,Venture Capital,WSIB,2026-02-18,ir093024
"Menlo Ventures IV, L.P.",9/12/1988,"25,000,000","25,000,000",-,-,"128,179,179","128,179,179",5.1x,"103,179,179",42.15%,Venture Capital,WSIB,2026-02-18,ir093024
"Menlo Ventures IX, L.P.",1/3/2001,"200,000,000","200,000,000",-,-,"203,998,349","203,998,349",1.0x,"3,998,349",0.33%,Venture Capital,WSIB,2026-02-18,ir093024
"Menlo Ventures VI, L.P.",12/21/1993,"2,600,000","2,600,000",-,-,"8,079,463","8,079,463",3.1x,"5,479,463",40.83%,Venture Capital,WSIB,2026-02-18,ir093024
"Menlo Ventures VII, L.P.",1/3/1997,"25,000,000","25,000,000",-,-,"117,760,153","117,760,153",4.7x,"92,760,153",135.58%,Venture Capital,WSIB,2026-02-18,ir093024
"Menlo Ventures VIII, L.P.",9/16/1999,"50,000,000","50,000,000",-,-,"24,945,080","24,945,080",0.5x,"(25,054,920)",(8.94%),Venture Capital,WSIB,2026-02-18,ir093024
"Menlo Ventures X, L.P.",1/6/2006,"150,000,000","150,000,000",-,"4,394,753","306,612,189","311,006,942",2.1x,"161,006,942",10.49%,Venture Capital,WSIB,2026-02-18,ir093024
"Menlo Ventures XI, L.P.",7/28/2011,"100,000,000","100,000,153",-,"61,535,717","363,440,316","424,976,033",4.2x,"324,975,881",29.34%,Venture Capital,WSIB,2026-02-18,ir093024
"Menlo Ventures XII, L.P.",4/2/2015,"100,000,000","113,519,680",-,"135,732,636","56,557,386","192,290,022",1.7x,"78,770,342",9.18%,Venture Capital,WSIB,2026-02-18,ir093024
"Menlo Ventures XIV, L.P.",10/30/2017,"100,000,000","100,000,000",-,"209,939,475","30,813,250","240,752,725",2.4x,"140,752,725",21.39%,Venture Capital,WSIB,2026-02-18,ir093024
"Menlo Ventures XV, L.P.",11/24/2020,"125,000,000","118,750,000","6,250,000","127,806,630",-,"127,806,630",1.1x,"9,056,630",2.94%,Venture Capital,WSIB,2026-02-18,ir093024
"Mobius Technology Ventures Side Fund VI, L.P.",11/14/2003,"8,166,667","3,064,717",-,-,"4,539,318","4,539,318",1.5x,"1,474,601",6.34%,Venture Capital,WSIB,2026-02-18,ir093024
"Mobius Technology Ventures VI, L.P.",6/5/2000,"83,333,333","82,354,694",-,-,"49,282,966","49,282,966",0.6x,"(33,071,728)",(5.80%),Venture Capital,WSIB,2026-02-18,ir093024
"Morgan Stanley Venture Partners III, LP",1/28/1997,"30,000,000","29,828,293",-,-,"69,732,149","69,732,149",2.3x,"39,903,856",40.87%,Venture Capital,WSIB,2026-02-18,ir093024
"New Enterprise Associates 10, L.P.",10/17/2000,"110,000,000","110,000,000",-,"4,732,682","123,866,570","128,599,252",1.2x,"18,599,252",2.32%,Venture Capital,WSIB,2026-02-18,ir093024
"New Enterprise Associates 12, L.P.",5/22/2006,"50,000,000","49,250,000","750,000","1,504,874","68,349,730","69,854,604",1.4x,"20,604,604",6.42%,Venture Capital,WSIB,2026-02-18,ir093024
"Oak Investment Partners IX, L.P.",10/5/1999,"60,000,000","60,000,000",-,"11,286","39,086,986","39,098,272",0.7x,"(20,901,728)",(6.65%),Venture Capital,WSIB,2026-02-18,ir093024
"Oak Investment Partners VIII, L.P.",9/17/1998,"20,000,000","20,000,000",-,-,"36,011,732","36,011,732",1.8x,"16,011,732",55.33%,Venture Capital,WSIB,2026-02-18,ir093024
"Oak Investment Partners X, L.P.",1/18/2001,"100,000,000","100,000,000",-,-,"126,465,587","126,465,587",1.3x,"26,465,587",3.50%,Venture Capital,WSIB,2026-02-18,ir093024
"Oak Investment Partners XI, L.P.",7/21/2004,"100,000,000","100,000,000",-,"79,915","82,292,209","82,372,124",0.8x,"(17,627,876)",(2.47%),Venture Capital,WSIB,2026-02-18,ir093024
"OVP Venture Partners VI, L.P.",10/10/2001,"40,000,000","40,000,000",-,-,"11,353,372","11,353,372",0.3x,"(28,646,628)",(15.59%),Venture Capital,WSIB,2026-02-18,ir093024
"OVP Venture Partners VII, L.P.",6/9/2006,"40,000,000","40,000,000",-,"93,234,779","36,592,618","129,827,397",3.2x,"89,827,397",8.90%,Venture Capital,WSIB,2026-02-18,ir093024
"Paragon Partners, L.P.",5/10/1984,"4,000,000","4,000,000",-,-,"8,371,560","8,371,560",2.1x,"4,371,560",13.82%,Venture Capital,WSIB,2026-02-18,ir093024
"Paragon Venture Partners II, L.P.",7/6/1989,"5,000,000","5,000,000",-,-,"11,476,137","11,476,137",2.3x,"6,476,137",11.55%,Venture Capital,WSIB,2026-02-18,ir093024
Pathway Portfolio,1/3/1997,"1,013,280,693","1,018,806,441","4,728,938","77,539,239","1,687,976,287","1,765,515,526",1.7x,"746,709,085",11.36%,Venture Capital,WSIB,2026-02-18,ir093024
"Phoenix Partners II, L.P.",2/15/1985,"15,000,000","15,000,000",-,-,"27,828,607","27,828,607",1.9x,"12,828,607",12.97%,Venture Capital,WSIB,2026-02-18,ir093024
"Phoenix Partners III, L.P.",8/27/1986,"25,000,000","25,000,000",-,-,"35,853,437","35,853,437",1.4x,"10,853,437",5.31%,Venture Capital,WSIB,2026-02-18,ir093024
"Phoenix Partners, L.P.",9/1/1982,"5,000,000","5,000,000",-,-,"4,472,493","4,472,493",0.9x,"(527,507)",(1.64%),Venture Capital,WSIB,2026-02-18,ir093024
"Phoenix Partners, L.P. - WSIB Secondary",10/23/1990,"923,036","923,036",-,-,"644,752","644,752",0.7x,"(278,284)",(9.44%),Venture Capital,WSIB,2026-02-18,ir093024
"Sprout Capital IX, L.P.",10/6/2000,"75,000,000","75,119,726",-,-,"106,739,997","106,739,997",1.4x,"31,620,271",5.67%,Venture Capital,WSIB,2026-02-18,ir093024
"Sprout Capital VII, L.P.",2/24/1995,"18,000,000","18,000,000",-,-,"48,062,598","48,062,598",2.7x,"30,062,598",21.47%,Venture Capital,WSIB,2026-02-18,ir093024
"Sprout VIII, L.P.",5/7/1998,"55,000,000","55,000,000",-,-,"51,926,939","51,926,939",0.9x,"(3,073,061)",(0.91%),Venture Capital,WSIB,2026-02-18,ir093024
"TA/Advent VIII, L.P.",2/3/1997,"15,000,000","14,700,000",-,-,"33,578,530","33,578,530",2.3x,"18,878,530",23.28%,Venture Capital,WSIB,2026-02-18,ir093024
"Telecom Partners III, L.P.",12/17/1999,"50,426,250","46,273,500",-,-,"4,909,510","4,909,510",0.1x,"(41,363,990)",(40.56%),Venture Capital,WSIB,2026-02-18,ir093024
"U.S. Venture Partners V, L.P.",9/3/1996,"10,000,000","10,000,000",-,-,"22,614,698","22,614,698",2.3x,"12,614,698",26.23%,Venture Capital,WSIB,2026-02-18,ir093024
"U.S. Venture Partners VI, L.P.",3/11/1999,"15,500,000","15,500,000",-,-,"19,059,183","19,059,183",1.2x,"3,559,183",4.34%,Venture Capital,WSIB,2026-02-18,ir093024
"U.S. Venture Partners VII, L.P.",1/11/2000,"39,416,667","39,416,667",-,-,"27,592,675","27,592,675",0.7x,"(11,823,992)",(2.53%),Venture Capital,WSIB,2026-02-18,ir093024
"U.S. Venture Partners VIII, L.P.",6/4/2001,"54,000,000","53,136,001",-,-,"68,895,926","68,895,926",1.3x,"15,759,925",3.49%,Venture Capital,WSIB,2026-02-18,ir093024
"Ventech Partners, L.P.",1/21/1983,"3,333,333","3,333,333",-,-,"4,946,219","4,946,219",1.5x,"1,612,886",8.23%,Venture Capital,WSIB,2026-02-18,ir093024
