fund_name,gp_name,vintage_year,committed,cash_in,cash_out,remaining_value,total_value,tvpi,dpi,rvpi,net_irr,source,as_of_date
River City Investments PCC,River City,2024.0,150000000.0,25800000.0,0.0,27640594.0,27640594.0,1.0,0.0,1.0713408527131782,,CalPERS,"June 30, 2025"
"Set Builders II, LP",Set Builders,2024.0,70000000.0,44522322.0,0.0,55579963.0,55579963.0,1.0,0.0,1.2483617318970919,,CalPERS,"June 30, 2025"
"Shoreline, L.P.","Shoreline, L.P.",2024.0,200000000.0,77944757.0,0.0,79058295.0,79058295.0,1.0,0.0,1.0142862463475253,,CalPERS,"June 30, 2025"
"SignalFire Seed Fund V, L.P.",SignalFire Seed,2024.0,94044821.0,9874706.0,0.0,9847992.0,9847992.0,1.0,0.0,0.9972947042676511,,CalPERS,"June 30, 2025"
"SignalFire XIR Venture Fund II, L.P.",SignalFire XIR,2024.0,51818128.0,17099982.0,0.0,15634730.0,15634730.0,1.0,0.0,0.91431265834081,,CalPERS,"June 30, 2025"
"Silver Lake Partners VII, L.P.",Silver Lake,2024.0,370000000.0,118480583.0,163572.0,147605250.0,147768822.0,1.0,0.0013805806475479616,1.245818059487435,,CalPERS,"June 30, 2025"
"Springblue A-V, L.P.","Springblue A-V,",2024.0,60000000.0,17100000.0,0.0,18184905.0,18184905.0,1.0,0.0,1.0634447368421052,,CalPERS,"June 30, 2025"
"The Veritas Capital Fund IX, L.P.",The Veritas,2024.0,400000000.0,5027427.0,4149.0,0.0,4149.0,1.0,0.0008252730472267424,0.0,,CalPERS,"June 30, 2025"
"Three Pillars Secondaries Fund, LP",Three Pillars,2024.0,1500000000.0,226875000.0,31875000.0,396093916.0,427968916.0,1.0,0.14049586776859505,1.7458685002754821,,CalPERS,"June 30, 2025"
"Thrive Capital Partners IX Growth, L.P.",Thrive Capital,2024.0,365742209.0,153443494.0,0.0,185123129.0,185123129.0,1.0,0.0,1.2064579877202222,,CalPERS,"June 30, 2025"
"Thrive Capital Partners Opportunity Fund, L.P.",Thrive Capital,2024.0,179000000.0,114974381.0,0.0,138239265.0,138239265.0,1.0,0.0,1.2023484170791057,,CalPERS,"June 30, 2025"
"Towerbrook Investors VI (Onshore), L.P.",Towerbrook Investors,2024.0,100000000.0,52648252.0,90072.0,58479657.0,58569729.0,1.0,0.0017108260308433413,1.1107616070520252,,CalPERS,"June 30, 2025"
"TPG Asia VIII (A), L.P.",TPG Asia,2024.0,250000000.0,105999569.0,0.0,124238414.0,124238414.0,1.0,0.0,1.1720652750955998,,CalPERS,"June 30, 2025"
"TPG GP Solutions (A), L.P.",TPG GP,2024.0,100000000.0,32679829.0,0.0,36483741.0,36483741.0,1.0,0.0,1.1163993850763418,,CalPERS,"June 30, 2025"
